scenario_id,replications,robot_count,station_count,charging_station_count,arrival_rate_per_minute,assignment_policy,generated_orders,completed_orders,orders_left_in_queue,throughput_per_hour,avg_cycle_time_minutes,p50_cycle_time_minutes,p90_cycle_time_minutes,avg_queue_wait_minutes,avg_station_wait_minutes,avg_charging_wait_minutes,avg_travel_distance_cells,robot_utilization,station_utilization,charger_utilization,sla_attainment_rate,priority_sla_attainment_rate,failure_rate,charge_time_total_minutes,bottleneck_classification
policy_shortest_queue_priority,5,24,4,4,1.05,shortest_queue_priority,501,487,14,60.9,18.7,14.5,35.2,5.2,1.3,0.4,44.1,0.57,0.62,0.21,0.81,0.68,0.015,402,balanced / stable
policy_nearest_robot,5,24,4,4,1.05,nearest_robot,500,481,19,60.1,20.4,16.2,38.7,6.4,1.4,0.5,39.5,0.56,0.61,0.21,0.78,0.65,0.016,410,demand exceeds modeled capacity
policy_priority_fifo,5,24,4,4,1.05,priority_fifo,502,476,26,59.5,22.8,17.8,42.6,8.0,1.5,0.5,47.0,0.58,0.60,0.22,0.74,0.72,0.014,421,robot constrained
policy_fifo,5,24,4,4,1.05,fifo,501,472,29,59.0,24.9,19.7,45.8,9.2,1.7,0.6,47.4,0.59,0.59,0.22,0.70,0.51,0.015,430,robot constrained
